sentence_index,feature,tfidf_value
3,maybe,1.0
5,stop,1.0
7,william,1.0
8,damn,0.5957627927165939
8,god,0.5957627927165939
8,william,0.5386403156365567
9,damn,0.7071067811865475
9,god,0.7071067811865475
10,let,1.0
11,got,0.6706509531526967
11,feed,0.7417730778583026
12,ill,1.0
13,wont,1.0
16,did,0.525675646231285
16,hollander,0.5814232280250724
16,told,0.6209767667733032
17,mark,0.46046079954881947
17,alice,0.543938949007105
17,think,0.4824184249916843
17,feed,0.5092923866115127
19,make,1.0
21,turn,0.5895970430230183
21,make,0.5520422571841999
21,alice,0.5895970430230183
22,hollander,0.7071067811865475
22,stop,0.7071067811865475
23,didnt,0.6834764565973351
23,bad,0.7299725565232921
24,like,0.5642710514562553
24,looking,0.6026577477946368
24,stop,0.5642710514562553
25,marshal,0.5510270344294736
25,tell,0.5219508499742734
25,going,0.41921280753481005
25,did,0.49819387745914284
26,shit,0.4729866747766805
26,doing,0.4729866747766805
26,aint,0.44285946588706676
26,marshal,0.44285946588706676
26,william,0.4003975498374596
27,boys,0.3529677790149443
27,thing,0.3529677790149443
27,going,0.8055972086563012
27,mark,0.31912478963516927
28,going,1.0
29,tell,0.5080589896848164
29,going,0.4080553474902261
29,make,0.5363613037799588
29,hollander,0.5363613037799588
30,tell,0.7796635235289237
30,going,0.626198682590808
31,just,0.5386403156365567
31,like,0.5957627927165939
31,maybe,0.5957627927165939
32,bigsby,0.5895970430230183
32,headed,0.5895970430230183
32,coach,0.5520422571841999
33,gatling,1.0
34,feed,0.7260018609592503
34,let,0.6876927350813772
35,going,1.0
36,day,0.7632445868648462
36,william,0.6461096660950911
37,shoes,1.0
38,shoes,0.7299725565232921
38,aint,0.6834764565973351
42,man,0.7071067811865476
42,gatling,0.7071067811865476
43,mark,1.0
45,theyre,0.6355078504694175
45,going,0.4834844999602195
45,think,0.6019738451876101
47,pinkerton,0.5773502691896257
47,morning,0.5773502691896257
47,good,0.5773502691896257
48,heard,0.7299725565232921
48,charlie,0.6834764565973351
49,heard,0.7299725565232921
49,charlie,0.6834764565973351
51,pinkertons,1.0
52,byron,1.0
53,byron,0.5814232280250724
53,turn,0.6209767667733032
53,did,0.525675646231285
54,wade,0.5642710514562553
54,ben,0.5642710514562553
54,hell,0.6026577477946368
55,time,0.6026577477946368
55,look,0.5642710514562553
55,byron,0.5642710514562553
56,probably,0.40916492978018576
56,ive,0.40916492978018576
56,just,0.3463705091496581
56,thing,0.38310289047302776
56,got,0.3463705091496581
56,let,0.3628876022698863
56,damn,0.38310289047302776
57,kill,0.6705489760219004
57,just,0.5676400232035109
57,going,0.4776493220067401
58,kill,0.6476496769458702
58,aint,0.6063971889897314
58,going,0.4613375609434614
59,like,1.0
60,thing,0.5737341881012806
60,wont,0.6127646505018475
60,let,0.5434598094607486
61,ill,1.0
62,didnt,1.0
64,lets,1.0
66,man,0.6602427579253625
66,tell,0.5855680531278865
66,going,0.4703079371679029
68,shit,1.0
70,pinkerton,0.7299725565232921
70,coach,0.6834764565973351
71,dont,0.4237827148669128
71,know,0.47782570604773167
71,charlie,0.44739027176044643
71,told,0.47782570604773167
71,got,0.40449393641205084
73,look,0.5814232280250724
73,looking,0.6209767667733032
73,mark,0.525675646231285
74,look,0.7417730778583026
74,william,0.6706509531526967
75,morning,0.7071067811865476
75,good,0.7071067811865476
76,cattle,1.0
77,youre,0.5895970430230183
77,thats,0.5895970430230183
77,ben,0.5520422571841999
78,need,1.0
79,ive,0.7632445868648462
79,got,0.6461096660950911
80,need,0.5990507260471342
80,cattle,0.5990507260471342
80,dont,0.531296955802311
81,dont,0.6635314179659753
81,doing,0.7481484193474329
83,bigsby,0.7299725565232921
83,boys,0.6834764565973351
84,late,0.5275389263756249
84,probably,0.5275389263756249
84,theyre,0.4939369746085376
84,just,0.4465776835349827
85,late,0.42021057595550204
85,thats,0.42021057595550204
85,dont,0.37268396496948386
85,pinkertons,0.42021057595550204
85,theyre,0.39344497668060996
85,day,0.42021057595550204
86,feet,1.0
87,feet,0.47123690561281156
87,youre,0.47123690561281156
87,just,0.39891631722910964
87,bad,0.47123690561281156
87,think,0.41793912022416707
88,mark,1.0
90,headed,0.484698839455216
90,coach,0.4538256162471515
90,think,0.4298784838851984
90,got,0.4103122520704403
90,maybe,0.4538256162471515
91,wade,0.7071067811865475
91,ben,0.7071067811865475
92,know,0.6209767667733032
92,wade,0.5814232280250724
92,did,0.525675646231285
93,marshal,1.0
95,did,0.6706509531526967
95,god,0.7417730778583026
96,hell,0.7299725565232921
96,didnt,0.6834764565973351
98,lets,0.6834764565973351
98,time,0.7299725565232921
100,lets,0.7071067811865475
100,boys,0.7071067811865475
